s	mu	alpha	lambda	MAP
0.25	100	0.2	0.7	0.586395
0.25	500	0.2	0.7	0.608076
0.25	1000	0.2	0.7	0.621883
0.25	2000	0.2	0.7	0.6324
0.25	5000	0.2	0.7	0.626424
0.25	10000	0.2	0.7	0.605771
0.3	100	0.2	0.7	0.60634
0.3	500	0.2	0.7	0.629223
0.3	1000	0.2	0.7	0.644871
0.3	2000	0.2	0.7	0.649459
0.3	5000	0.2	0.7	0.633372
0.3	10000	0.2	0.7	0.6159
0.35	100	0.2	0.7	0.611879
0.35	500	0.2	0.7	0.648003
0.35	1000	0.2	0.7	0.658122
0.35	2000	0.2	0.7	0.662208
0.35	5000	0.2	0.7	0.649189
0.35	10000	0.2	0.7	0.631463
0.4	100	0.2	0.7	0.612231
0.4	500	0.2	0.7	0.659852
0.4	1000	0.2	0.7	0.660346
0.4	2000	0.2	0.7	0.657471
0.4	5000	0.2	0.7	0.645213
0.4	10000	0.2	0.7	0.628609
0.1	100	0.2	0.8	0.506631
0.1	500	0.2	0.8	0.534199
0.1	1000	0.2	0.8	0.551589
0.1	2000	0.2	0.8	0.569523
0.1	5000	0.2	0.8	0.574592
0.1	10000	0.2	0.8	0.56469
0.15	100	0.2	0.8	0.552938
0.15	500	0.2	0.8	0.574391
0.15	1000	0.2	0.8	0.590843
0.15	2000	0.2	0.8	0.608155
0.15	5000	0.2	0.8	0.600267
0.15	10000	0.2	0.8	0.591164
0.2	100	0.2	0.8	0.579196
0.2	500	0.2	0.8	0.602623
0.2	1000	0.2	0.8	0.617078
0.2	2000	0.2	0.8	0.628179
0.2	5000	0.2	0.8	0.621889
0.2	10000	0.2	0.8	0.603079
0.25	100	0.2	0.8	0.596642
0.25	500	0.2	0.8	0.626879
0.25	1000	0.2	0.8	0.643006
0.25	2000	0.2	0.8	0.646379
0.25	5000	0.2	0.8	0.63198
0.25	10000	0.2	0.8	0.614738
0.3	100	0.2	0.8	0.611591
0.3	500	0.2	0.8	0.640059
0.3	1000	0.2	0.8	0.651861
0.3	2000	0.2	0.8	0.661729
0.3	5000	0.2	0.8	0.648783
0.3	10000	0.2	0.8	0.631534
0.35	100	0.2	0.8	0.61109
0.35	500	0.2	0.8	0.659156
0.35	1000	0.2	0.8	0.659013
0.35	2000	0.2	0.8	0.657739
