s	mu	alpha	lambda	MAP
0.2	500	0.3	0.4	0.488912
0.2	1000	0.3	0.4	0.513617
0.2	2000	0.3	0.4	0.51713
0.2	5000	0.3	0.4	0.503203
0.25	500	0.3	0.4	0.507231
0.25	1000	0.3	0.4	0.525826
0.25	2000	0.3	0.4	0.527572
0.25	5000	0.3	0.4	0.50827
0.3	500	0.3	0.4	0.518728
0.3	1000	0.3	0.4	0.53987
0.3	2000	0.3	0.4	0.536655
0.3	5000	0.3	0.4	0.510414
0.35	500	0.3	0.4	0.530511
0.35	1000	0.3	0.4	0.549776
0.35	2000	0.3	0.4	0.546811
0.35	5000	0.3	0.4	0.518988
0.4	500	0.3	0.4	0.540466
0.4	1000	0.3	0.4	0.559782
0.4	2000	0.3	0.4	0.560934
0.4	5000	0.3	0.4	0.523686
0.1	500	0.3	0.5	0.469007
0.1	1000	0.3	0.5	0.492277
0.1	2000	0.3	0.5	0.499141
0.1	5000	0.3	0.5	0.490403
0.15	500	0.3	0.5	0.486232
0.15	1000	0.3	0.5	0.512107
0.15	2000	0.3	0.5	0.516272
0.15	5000	0.3	0.5	0.50073
0.2	500	0.3	0.5	0.510713
0.2	1000	0.3	0.5	0.526972
0.2	2000	0.3	0.5	0.529023
0.2	5000	0.3	0.5	0.509061
0.25	500	0.3	0.5	0.525424
0.25	1000	0.3	0.5	0.545224
0.25	2000	0.3	0.5	0.542569
0.25	5000	0.3	0.5	0.515629
0.3	500	0.3	0.5	0.53795
0.3	1000	0.3	0.5	0.556799
0.3	2000	0.3	0.5	0.558905
0.3	5000	0.3	0.5	0.523523
0.35	500	0.3	0.5	0.551998
0.35	1000	0.3	0.5	0.567222
0.35	2000	0.3	0.5	0.565891
0.35	5000	0.3	0.5	0.526066
0.4	500	0.3	0.5	0.564795
0.4	1000	0.3	0.5	0.577755
0.4	2000	0.3	0.5	0.577821
0.4	5000	0.3	0.5	0.527972
0.1	500	0.3	0.6	0.47688
0.1	1000	0.3	0.6	0.503501
0.1	2000	0.3	0.6	0.506365
0.1	5000	0.3	0.6	0.495233
0.15	500	0.3	0.6	0.50124
0.15	1000	0.3	0.6	0.523157
0.15	2000	0.3	0.6	0.524611
0.15	5000	0.3	0.6	0.506279
0.2	500	0.3	0.6	0.523977
0.2	1000	0.3	0.6	0.544669
0.2	2000	0.3	0.6	0.541
0.2	5000	0.3	0.6	0.514544
0.25	500	0.3	0.6	0.539987
0.25	1000	0.3	0.6	0.558265
0.25	2000	0.3	0.6	0.55995
0.25	5000	0.3	0.6	0.523655
0.3	500	0.3	0.6	0.556725
0.3	1000	0.3	0.6	0.573206
0.3	2000	0.3	0.6	0.572686
